宜蘭大學 140.111. 宜蘭
台大 140.112. 台北
交大 140.113. 新竹
清大 140.114. 新竹
中央 140.115. 桃園
成大 140.116. 台南
中山 140.117. 高雄
台科 140.118. 台北
政大 140.119. 台北
中興 140.120. 台中
海大 140.121. 高雄
台師大 140.122. 台北
中正 140.123. 嘉義
北科大 140.124. 台北
雲林科技大學 140.125. 雲林 
國立新竹師院宿舍 140.126.22. 新竹 
大華科技大學 140.126.100. 新竹
國立高雄師範大學 140.127.36~80. 高雄 
正修科技大學 140.127.134~135. 高雄
高雄大學 140.127.198~203. 高雄
靜宜大學 140.128.1~40. 台中
東海大學 140.128.96~135. 台中
國立陽明大學 140.129.69~79. 台北
龍華科技大學 140.131.1~20. 桃園 
國立台北商科大 140.131.108~114. 台北 
國防大學 140.132. 桃園
逢甲大學 140.134. 台中
中原大學 140.135. 桃園
輔仁大學 140.136. 台北
文化大學 140.137. 台北
元智大學 140.138. 桃園
淡江大學 163.13. 台北
東吳大學 163.14. 台北
陸軍官校 163.15.1~23. 高雄
高雄醫學大學 163.15.151~180. 高雄
朝陽科技大學 163.17.1~63. 台中
國立臺中科技大學 163.17.131~145. 台中 
國立高雄第一科技大學 163.18. 高雄
耕莘健康管理專科學校 163.21.98. 新竹
臺北市立大學 163.21.236. 台北
曁南大學 163.22. 南投
亞東技術學院 120.96.32~79. 新竹
國立彰化師範大學 120.107.144~215. 彰化
建國科技大學 120.109.0~79. 彰化
修平科技大學 120.109.160~191. 台中
國立虎尾科技大學 120.113.64~127. 雲林
樹德科技大學 120.119. 高雄
健行科技大學 120.124. 桃園
銘傳大學 120.125.86. 台北
國立金門大學 120.125.96~111. 金門
國立臺北大學 120.126. 台北
國立東華大學 134.208. 花蓮
國立臺中教育大學 192.83.167. 台中
國立臺北大學 192.83.170~185. 台北
國立臺北大學 192.192.35~36. 台北
國立臺中科技大學 192.83.172. 台中
國立彰化師範大學 192.83.173. 彰化
大葉大學 192.83.174. 彰化
國立臺北教育大學 192.83.179. 台北
國立體育大學 192.83.181. 桃園
興國管理學院 192.83.182. 台南
國立宜蘭大學 192.83.183. 宜蘭
高苑科技大學 192.83.190. 高雄
實踐大學 192.83.193. 台北
國立高雄海洋科技大學 192.83.194~195. 高雄
中央警察大學 192.192.1. 桃園
嶺東科技大學 192.192.2. 台中
台南應用科技大學 192.192.3. 台南
崑山科技大學 192.192.30~32. 台南
南台科技大學 192.192.37~39. 台南
萬能科技大學 192.192.40~43. 桃園
景文科技大學 192.192.44. 新竹
嘉南藥理大學 192.192.45. 台南
國立空中大學 192.192.48~55. 新竹
健行科技大學 192.192.56~57. 桃園
長庚大學 192.192.60~67. 台北
亞東技術學院 192.192.68~73. 新竹
黎明技術學院 192.192.74~77. 新竹
中國科技大學 192.192.78~85. 台北
僑光科技大學 192.192.125~129. 台中
明志科技大學 192.192.132~133. 新竹
國立臺灣體育運動大學 192.192.139. 台中
德明財經科技大學 192.192.140~141. 台北
世新大學 192.192.148~159. 台北
中華科技大學 192.192.230. 台北
慈濟大學 203.64.76. 花蓮
慈濟大學 203.72.73~87. 花蓮
國立屏東商業技術學院 203.64.120~127. 屏東
臺北城市科技大學 203.64.215. 台北
國立高雄餐旅大學 203.68. 台北
臺北醫學大學 203.71.84~88. 台北
長榮大學 210.70.183. 台南
康寧大學 210.71.118. 台南
臺北基督學院 211.75.81.81. 台北
